Instance,Avg_HE_Size,Q,Epsilon,Hyperedge_Cut,Total_Time_s
bibd_49_3.mtx.hgr,47.0,2,0.02,879,2.02728
bibd_49_3.mtx.hgr,,4,0.02,1056,3.37879
bibd_49_3.mtx.hgr,,8,0.02,1176,4.84363
bibd_49_3.mtx.hgr,,16,0.02,1176,10.1989
bibd_49_3.mtx.hgr,,32,0.02,1176,14.3029
bibd_49_3.mtx.hgr,,64,0.02,1176,14.4705
Pd_rhs.mtx.hgr,1.44658,2,0.02,0,0.0658799
Pd_rhs.mtx.hgr,,4,0.02,0,0.11184
Pd_rhs.mtx.hgr,,8,0.02,0,0.162514
Pd_rhs.mtx.hgr,,16,0.02,0,0.214959
Pd_rhs.mtx.hgr,,32,0.02,0,0.273481
Pd_rhs.mtx.hgr,,64,0.02,0,0.33007
dac2012_superblue19.hgr,3.34932,2,0.02,1596,56.8181
dac2012_superblue19.hgr,,4,0.02,4678,104.168
dac2012_superblue19.hgr,,8,0.02,9248,194.122
dac2012_superblue19.hgr,,16,0.02,12941,129.591
dac2012_superblue19.hgr,,32,0.02,18759,180.773
dac2012_superblue19.hgr,,64,0.02,27623,314.317
ISPD98_ibm07.hgr,3.65025,2,0.02,941,1.7572
ISPD98_ibm07.hgr,,4,0.02,2203,3.50903
ISPD98_ibm07.hgr,,8,0.02,3578,4.14166
ISPD98_ibm07.hgr,,16,0.02,5218,5.73904
ISPD98_ibm07.hgr,,32,0.02,7107,7.93434
ISPD98_ibm07.hgr,,64,0.02,9462,10.5481
G2_circuit.mtx.hgr,4.8412,2,0.02,624,5.14766
G2_circuit.mtx.hgr,,4,0.02,1412,9.91441
G2_circuit.mtx.hgr,,8,0.02,3004,8.69752
G2_circuit.mtx.hgr,,16,0.02,5940,10.6004
G2_circuit.mtx.hgr,,32,0.02,8796,12.347
G2_circuit.mtx.hgr,,64,0.02,13384,16.1896
